timestamp,macModule,rssi
2022-10-07 11:39:20.881,C45BBE386952,-79
2022-10-07 11:39:20.300,C45BBE39F56A,-77
2022-10-07 11:39:19.038,C45BBE384CD2,-80
2022-10-07 11:38:55.914,C45BBE384CD2,-63
2022-10-07 11:38:50.178,C45BBE384CD2,-60
2022-10-07 11:38:40.601,C45BBE384CD2,-77
2022-10-07 11:38:29.148,C45BBE384CD2,-61
2022-10-07 11:38:19.578,C45BBE384CD2,-61
2022-10-07 11:38:10.005,C45BBE384CD2,-62
2022-10-07 11:38:00.475,C45BBE384CD2,-66
2022-10-07 11:37:50.972,C45BBE384CD2,-60
2022-10-07 11:37:39.534,C45BBE384CD2,-68
2022-10-07 11:37:29.973,C45BBE384CD2,-57
2022-10-07 11:37:20.374,C45BBE384CD2,-56
2022-10-07 11:37:10.826,C45BBE384CD2,-61
2022-10-07 11:36:59.395,C45BBE384CD2,-61
2022-10-07 11:36:49.876,C45BBE384CD2,-61
2022-10-07 11:36:40.324,C45BBE384CD2,-59
2022-10-07 11:36:30.866,C45BBE384CD2,-56
2022-10-07 11:36:19.402,C45BBE384CD2,-65
2022-10-07 11:36:09.799,C45BBE384CD2,-58
2022-10-07 11:36:00.260,C45BBE384CD2,-58
2022-10-07 11:35:50.630,C45BBE384CD2,-55
2022-10-07 11:35:39.095,C45BBE384CD2,-59
2022-10-07 11:35:29.564,C45BBE384CD2,-58
2022-10-07 11:35:20.038,C45BBE384CD2,-58
2022-10-07 11:35:10.475,C45BBE384CD2,-57
2022-10-07 11:35:00.940,C45BBE384CD2,-57
2022-10-07 11:34:49.430,C45BBE384CD2,-57
2022-10-07 11:34:39.890,C45BBE384CD2,-57
2022-10-07 11:34:30.319,C45BBE384CD2,-57
2022-10-07 11:34:20.630,C45BBE384CD2,-58
2022-10-07 11:34:09.241,C45BBE384CD2,-57
2022-10-07 11:33:59.622,C45BBE384CD2,-59
2022-10-07 11:33:50.029,C45BBE384CD2,-60
2022-10-07 11:33:40.499,C45BBE384CD2,-52
2022-10-07 11:33:30.969,C45BBE384CD2,-58
2022-10-07 11:33:19.517,C45BBE384CD2,-76
2022-10-07 11:33:09.974,C45BBE384CD2,-65
2022-10-07 11:32:58.408,C45BBE384CD2,-79
2022-10-07 11:32:48.801,C45BBE384CD2,-77
2022-10-07 11:32:39.258,C45BBE384CD2,-61
2022-10-07 11:32:29.622,C45BBE384CD2,-60
2022-10-07 11:32:20.006,C45BBE384CD2,-64
2022-10-07 11:32:10.465,C45BBE384CD2,-59
2022-10-07 11:31:59.050,C45BBE384CD2,-62
2022-10-07 11:31:49.486,C45BBE384CD2,-59
2022-10-07 11:31:39.940,C45BBE384CD2,-58
2022-10-07 11:31:30.339,C45BBE384CD2,-63
