macModule,rssi,hourMinute
C45BBE39F56A,-61,9h5
C45BBE386952,-57,9h5
C45BBE37B346,-62,9h5
C45BBE37B346,-63,9h5
C45BBE39F56A,-59,9h5
C45BBE386952,-70,9h5
C45BBE37B346,-65,9h5
C45BBE386952,-69,9h5
C45BBE39F56A,-78,9h5
C45BBE37B346,-77,9h5
C45BBE386952,-65,9h5
C45BBE39F56A,-59,9h5
C45BBE39F56A,-57,9h5
C45BBE37B346,-66,9h5
C45BBE386952,-63,9h5
C45BBE37B346,-70,9h5
C45BBE39F56A,-68,9h5
C45BBE386952,-75,9h5
C45BBE37B346,-74,9h6
C45BBE39F56A,-72,9h6
C45BBE386952,-65,9h6
C45BBE386952,-63,9h6
C45BBE37B346,-61,9h6
C45BBE39F56A,-61,9h6
C45BBE39F56A,-58,9h6
C45BBE386952,-65,9h6
C45BBE37B346,-70,9h6
C45BBE39F56A,-59,9h6
C45BBE386952,-61,9h6
C45BBE37B346,-80,9h6
C45BBE386952,-61,9h6
C45BBE37B346,-69,9h6
C45BBE39F56A,-49,9h6
C45BBE39F56A,-51,9h6
C45BBE386952,-64,9h6
C45BBE37B346,-63,9h6
C45BBE39F56A,-72,9h6
C45BBE37B346,-75,9h7
C45BBE386952,-47,9h7
C45BBE384CD2,-80,9h7
C45BBE386952,-72,9h7
C45BBE39F56A,-68,9h7
C45BBE37B346,-70,9h7
C45BBE386952,-50,9h7
C45BBE37B346,-71,9h7
C45BBE39F56A,-59,9h7
C45BBE37B346,-73,9h7
C45BBE386952,-57,9h7
C45BBE39F56A,-60,9h7
C45BBE37B346,-70,9h7
C45BBE386952,-57,9h7
C45BBE39F56A,-61,9h7
C45BBE386952,-57,9h7
C45BBE39F56A,-60,9h7
C45BBE37B346,-74,9h7
C45BBE386952,-59,9h8
C45BBE39F56A,-73,9h8
C45BBE37B346,-75,9h8
C45BBE386952,-80,9h8
C45BBE37B346,-64,9h8
C45BBE39F56A,-76,9h8
C45BBE386952,-78,9h8
C45BBE37B346,-76,9h8
C45BBE39F56A,-77,9h8
C45BBE39F56A,-80,9h8
C45BBE37B346,-78,9h8
A8032A31204E,-76,9h8
C45BBE37B346,-76,9h8
C45BBE37B346,-79,9h8
C45BBE37B346,-80,9h9
C45BBE37B346,-77,9h9
C45BBE37B346,-78,9h9
C45BBE39F56A,-75,9h9
C45BBE37B346,-79,9h9
A8032A31204E,-68,9h9
C45BBE39F9AE,-79,9h9
A8032A31204E,-72,9h9
C45BBE39F9AE,-64,9h9
A8032A31204E,-79,9h9
C45BBE39F9AE,-79,9h10
A8032A311FAA,-65,9h10
C45BBE39F9AE,-80,9h10
A8032A311FAA,-78,9h10
A8032A311FAA,-66,9h10
A8032A311FAA,-69,9h12
A8032A311FAA,-61,9h12
C45BBE39F9AE,-77,9h12
C45BBE39F9AE,-74,9h12
A8032A311FAA,-73,9h12
A8032A311FAA,-66,9h12
A8032A31204E,-73,9h12
C45BBE39F9AE,-72,9h12
C45BBE39F9AE,-78,9h12
C45BBE37B346,-80,9h12
A8032A31204E,-80,9h13
C45BBE386952,-78,9h13
C45BBE39F56A,-80,9h13
